Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Barani A,20191008-1207-FRANKFURT_2-01-98,17.728,18.142,-1.385,0.681,3.196,-75.276,25.274,112.405,-126.129,39.051,191.069,152.284,274.05,218.923
Salto A,20191008-1207-FRANKFURT_2-01-99,17.209,16.495,-0.412,0.431,5.872,16.505,200.809,-21.426,28.102,354.664,-35.281,31.903,367.759,61.813
Barani A,20191008-1207-FRANKFURT_2-01-101,18.228,18.56,-0.93,0.169,3.836,-79.825,28.665,97.554,-134.647,44.943,164.488,152.067,267.134,201.142
Schraubensalto A,20191008-1207-FRANKFURT_2-01-102,17.695,17.478,-2.654,-0.91,5.544,61.379,91.155,219.109,103.405,158.208,371.668,164.917,291.482,389.714
3/4 Salto rw A,20191008-1207-FRANKFURT_2-01-114,13.912,13.736,3.417,0.946,4.242,-3.53,160.018,-31.509,-7.485,304.621,-62.092,25.594,307.813,75.009
Cody C,20191008-1207-FRANKFURT_2-01-115,23.185,23.907,-2.105,0.6,-0.985,-0.204,239.648,-15.399,2.163,395.85,-24.443,59.221,488.208,97.468
Salto B,20191008-1207-FRANKFURT_2-01-117,20.921,20.59,-4.082,0.461,4.772,15.896,200.67,-25.94,27.172,343.909,-44.619,36.662,416.321,67.418
Barani A,20191008-1207-FRANKFURT_2-01-118,17.497,18.203,-3.71,0.076,2.404,-52.121,19.958,130.929,-85.831,27.802,212.182,114.443,308.311,252.345
Salto A,20191008-1207-FRANKFURT_2-01-119,16.458,16.322,-2.731,0.762,4.687,17.415,211.271,-24.027,30.2,350.729,-35.347,39.056,371.737,66.432
Schraubensalto A,20191008-1207-FRANKFURT_2-01-120,17.12,17.097,-2.658,-0.089,4.538,16.006,100.698,182.144,26.796,170.191,305.761,145.818,309.182,348.213
Salto C,20191008-1207-FRANKFURT_2-01-121,18.648,18.836,-2.454,0.875,4.385,16.596,207.015,-19.497,28.011,361.282,-32.746,52.308,378.258,76.439
3/4 Salto vw A,20191008-1207-FRANKFURT_2-01-122,14.522,14.363,-5.119,0.874,4.487,-16.416,-149.934,34.294,-30.357,-272.196,64.128,43.074,292.713,86.767
Baby- Fliffis C,20191008-1207-FRANKFURT_2-01-123,24.311,24.724,-12.747,0.051,-0.587,-43.314,-74.814,140.425,-72.192,-128.336,234.75,97.47,407.744,261.771
3/4 Salto rw A,20191008-1207-FRANKFURT_2-01-138,13.981,13.937,3.535,0.751,4.026,10.741,157.935,-30.518,20.15,300.37,-60.094,35.528,302.893,73.601
Cody C,20191008-1207-FRANKFURT_2-01-139,23.132,23.875,-2.354,0.899,-1.145,11.516,240.451,-11.59,20.061,405.59,-18.76,56.803,491.434,92.497
Salto B,20191008-1207-FRANKFURT_2-01-141,20.752,20.762,-4.7,0.589,3.668,15.82,200.642,-15.622,27.662,343.185,-27.756,44.99,419.242,56.069
Barani A,20191008-1207-FRANKFURT_2-01-142,19.072,19.261,-2.718,0.294,3.551,-71.774,10.355,125.586,-120.3,14.78,212.073,129.81,305.27,235.777
Salto A,20191008-1207-FRANKFURT_2-01-143,16.069,16.191,-2.922,0.65,4.164,35.077,204.66,-22.835,60.243,340.107,-39.201,64.279,356.419,49.987
Schraubensalto A,20191008-1207-FRANKFURT_2-01-144,17.228,17.143,-2.973,-0.792,4.9,49.467,104.263,210.852,83.922,177.272,358.431,144.217,308.98,393.315
Salto C,20191008-1207-FRANKFURT_2-01-145,18.049,18.248,-2.609,0.781,4.351,12.659,206.991,-21.464,21.404,361.593,-39.13,47.228,376.687,76.911
