SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
0609-1-01-96,Bauchsprung,1.039,-0.41,8.781,-2.631,-26.197,-3.893,8.864,-0.479,4.713,-1.842,-23.18,-3.349
0609-1-01-184,Von Bauch in Stand,9.124,0.31,5.524,4.689,-5.097,-0.177,4.089,-0.626,7.006,-1.984,50.462,9.122
0609-1-01-215,Bauchsprung,1.427,-0.283,9.52,-2.215,-27.998,-1.579,7.714,-0.401,6.012,-1.942,-7.897,-5.632
0827-BK2-02-129,Salto A,0.865,0.719,5.36,0.847,195.877,-33.28,0.537,0.113,4.538,6.104,167.926,-24.742
0609-4-01-58,Fliffis B,-15.343,1.472,1.731,-33.922,-348.898,106.549,-4.366,-2.342,-3.362,-101.232,237.62,128.22
0827-BK2-02-44,Salto C,-5.907,0.529,3.695,6.784,255.944,-49.685,1.41,0.755,6.822,-0.25,109.222,-21.461
20190930-1616-FRANKFURT_1-01-346,Barani C,-4.703,2.717,4.459,-54.006,-218.33,83.64,0.586,-0.378,5.574,-59.924,72.297,120.712
0609-1-01-801,Bauchsprung,1.31,-0.281,9.697,-6.987,-43.341,-8.141,8.199,0.123,5.232,-0.076,2.097,-7.687
20191008-1157-FRANKFURT_1-01-221,Barani C,-5.972,1.347,4.169,-5.692,-207.517,169.309,-1.578,-1.766,5.551,-18.597,170.923,64.082
20190930-1247-FRANKFURT_2-01-127,3/4 Salto rw A,1.505,-0.796,7.04,11.135,134.684,0.759,7.103,-0.447,2.387,11.263,175.479,-5.184
0609-1-01-853,Von Bauch in Stand,9.023,1.752,5.784,0.072,-26.975,14.927,3.551,-0.106,7.012,6.55,76.588,4.483
0609-4-01-78,Salto C,2.239,-0.507,2.945,-3.582,212.415,2.156,-0.808,-0.084,5.099,1.89,202.258,5.097
20191008-1207-FRANKFURT_2-01-263,Salto B,-7.387,0.084,0.504,17.156,227.017,-6.414,0.159,0.043,7.778,25.079,167.388,-5.887
0609-4-01-289,Salto C,-0.508,-0.172,3.59,0.923,243.136,3.091,3.556,-0.367,5.864,5.797,115.533,-1.025
0609-4-01-397,Salto C,-0.897,-0.418,3.82,-5.994,239.267,2.958,3.647,-0.407,5.316,-3.962,116.449,-2.588
0609-4-01-350,Salto C,-1.547,-0.346,3.975,-2.891,241.251,1.164,3.822,-0.312,5.742,-0.994,113.609,-5.292
20191008-1207-FRANKFURT_2-01-306,Salto B,-6.763,2.228,0.14,19.45,228.177,-41.242,0.579,1.022,6.652,14.907,170.147,-48.068
0609-1-01-521,Salto C,-3.928,0.138,3.153,20.472,267.943,-9.212,2.621,-0.109,6.318,20.692,107.086,-9.038
0115-MORITZ-03-145,Voll- ein- voll- aus B,-24.582,5.577,3.8,-363.109,-3.83,-529.015,-6.836,0.415,-5.728,80.43,176.55,-178.555
0115-MORITZ-03-129,Fliffis aus B,-20.216,-1.9,1.094,-14.601,-417.554,-53.566,-3.159,0.681,-2.512,90.747,182.615,-120.999
0609-4-01-516,Barani C,-2.867,0.862,4.894,-21.912,-179.889,135.163,1.704,-1.274,4.719,-32.362,113.396,108.272
20191007-1159-FRANKFURT_1-01-91,Barani B,-7.386,0.192,3.615,38.859,-209.78,182.018,-2.913,-1.568,3.764,-6.481,172.51,32.275
0609-4-01-129,Schraubensalto C,-4.655,-0.337,7.137,106.824,29.484,309.2,-0.129,-1.119,4.325,-9.068,162.27,115.712
