SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2,Acc_x_Fil_avg_3,Acc_y_Fil_avg_3,Acc_z_Fil_avg_3,Gyro_x_Fil_avg_3,Gyro_y_Fil_avg_3,Gyro_z_Fil_avg_3,Acc_x_Fil_avg_4,Acc_y_Fil_avg_4,Acc_z_Fil_avg_4,Gyro_x_Fil_avg_4,Gyro_y_Fil_avg_4,Gyro_z_Fil_avg_4
20191007-1524-FRANKFURT_1-01-77,Fliffis- Rudi C,-22.051,1.409,5.886,-5.886,-552.566,56.981,-41.64,3.673,-27.575,-37.842,-598.704,314.607,-41.135,-9.152,6.133,482.474,58.92,961.485,0.939,-3.166,10.575,95.193,296.18,113.255
20191008-1157-FRANKFURT_1-01-368,Barani A,1.794,1.283,16.059,0.686,-164.986,67.701,-2.982,0.625,-7.843,-142.935,-105.801,214.243,-3.663,-3.036,-6.84,-34.584,135.31,145.546,-2.838,-0.408,16.05,-16.758,294.404,-17.8
0609-4-01-233,Schraubensalto C,3.374,2.085,17.145,96.481,170.199,145.868,-11.873,-2.549,-3.19,113.123,-86.793,464.536,-4.831,-2.188,-6.205,-45.93,155.161,203.503,2.015,0.24,14.968,27.951,172.208,28.461
20191008-1207-FRANKFURT_2-01-138,3/4 Salto rw A,1.408,1.976,15.842,9.039,96.812,-31.376,-1.671,-0.949,-3.759,-8.751,174.099,-15.774,-0.686,-1.01,-3.39,19.766,186.281,-16.336,15.089,2.979,7.316,22.914,174.611,-58.592
0110-MORITZ-01-48,Doppelsalto C,-3.158,-1.62,14.083,-12.217,168.674,-6.325,-39.255,-2.337,-7.574,-29.979,641.559,15.014,-19.656,-0.791,-7.156,11.108,429.334,11.375,4.338,-0.188,11.344,28.06,219.273,-0.845
0110-MORITZ-01-127,Voll- ein- voll- aus B,-14.048,-3.245,18.976,-267.017,100.405,-429.717,-38.161,10.579,-8.502,-494.275,-154.666,-539.062,-20.159,0.311,-12.923,-68.7,-124.215,-360.498,-0.872,1.494,8.67,41.085,247.544,-62.588
0609-1-01-97,Von Bauch in Stand,18.284,0.183,10.299,13.078,-11.14,8.608,0.164,-0.271,-0.412,9.965,25.313,8.059,-0.103,-0.339,-0.441,-3.196,20.512,-8.492,7.66,-0.731,15.43,-1.689,70.359,-1.123
20191008-1207-FRANKFURT_2-01-172,Barani A,-1.712,1.967,15.701,-44.438,-178.278,73.968,-0.943,0.016,-9.095,-180.753,-98.081,148.364,-3.52,-2.826,-7.765,-93.48,120.326,189.628,-3.144,1.209,16.577,31.332,246.775,23.771
20190930-1153-FRANKFURT_1-01-219,Salto A,2.081,-0.633,16.844,7.594,146.264,10.96,-2.036,-0.46,-5.236,20.631,214.075,-6.184,-2.207,-0.432,-4.397,11.142,142.004,-0.656,1.928,-1.379,12.101,23.756,208.88,10.404
20191007-1524-FRANKFURT_1-01-164,Doppelsalto B,-6.16,1.684,7.644,19.752,173.792,-11.954,-36.402,2.822,-22.77,70.017,694.912,-31.916,-20.778,1.388,-17.629,81.381,492.742,-33.046,-0.987,0.954,14.973,56.393,272.153,-4.388
0115-MORITZ-03-86,Doppelsalto B,-1.223,-1.925,12.975,-1.541,110.248,6.885,-38.302,-3.011,0.268,-36.991,624.279,13.345,-31.312,-2.53,-12.927,-6.691,560.935,-16.639,1.441,-0.322,7.594,-4.108,243.258,15.583
20190930-1247-FRANKFURT_2-01-153,Schraubensalto,1.878,0.887,17.737,41.009,181.498,113.003,-4.024,-0.432,-1.812,179.178,-0.977,237.189,-7.018,-4.061,-6.583,3.474,-30.456,383.044,6.215,-1.049,10.316,-30.052,224.47,69.331
0609-4-01-566,Barani C,-1.321,1.541,17.873,-0.518,-276.952,68.717,-5.974,0.221,-7.271,-26.352,-101.321,203.516,-2.912,-1.187,-5.136,-65.215,86.774,201.256,4.795,-0.674,14.467,11.755,143.765,43.82
20191008-1157-FRANKFURT_1-01-281,3/4 Salto vw A,2.576,0.308,15.974,2.808,-35.175,12.046,0.325,-0.707,-0.751,-11.22,-122.366,0.406,-2.76,-0.61,-1.483,1.227,-242.643,10.309,-23.129,0.808,4.613,-2.215,-228.226,16.456
0609-1-01-808,Doppelsalto C,-0.355,-0.789,11.29,10.338,166.544,-20.872,-44.432,-2.011,-18.022,-28.451,706.692,-11.298,-27.466,-0.152,-20.108,36.987,600.406,-16.187,1.7,-0.525,10.872,-14.008,219.735,-8.538
0609-1-01-796,Bauchsprung,3.624,-0.679,18.542,0.288,1.173,7.333,-0.224,0.05,0.062,-4.229,-70.793,-4.149,-0.167,-0.27,-0.814,-5.284,-65.769,-5.8,16.405,0.037,8.055,-6.623,47.847,-5.327
20191008-1207-FRANKFURT_2-01-28,Salto A,0.008,1.791,14.464,9.854,114.129,-26.07,-5.332,-0.81,-5.943,21.117,261.409,-34.959,-3.144,-1.17,-5.55,10.731,196.444,-20.667,0.199,1.309,16.849,21.336,216.048,9.661
0827-BK2-02-25,Salto C,2.046,0.733,15.547,6.469,60.259,-37.229,-13.613,0.922,-7.786,14.204,444.845,-28.36,-0.708,0.615,-2.43,17.15,108.528,-34.837,3.989,0.401,15.896,0.655,112.885,-3.721
20191008-1157-FRANKFURT_1-01-367,Salto B,-4.785,0.156,15.57,-0.453,51.891,-0.223,-5.043,-1.312,-12.699,-31.12,374.314,-13.889,-5.721,-1.064,-3.167,-1.131,187.699,3.071,4.708,0.523,17.619,0.722,169.43,-23.865
0609-1-01-874,Doppelsalto C,-1.034,-0.581,10.399,11.644,183.629,-13.226,-46.615,-1.379,-18.939,-14.377,739.81,-25.455,-21.247,0.668,-15.831,55.077,492.658,-11.382,0.549,0.236,9.27,13.144,234.202,-28.008
0115-JANEIKE-01-19,Salto B,3.776,-0.277,14.25,3.17,19.693,-14.621,-11.37,0.09,-9.003,20.602,445.956,-10.522,-2.483,0.073,-2.133,42.213,175.621,-11.607,7.484,-0.077,14.868,21.723,101.826,-13.105
20190930-1153-FRANKFURT_1-01-108,Doppelsalto C,-5.161,-0.812,11.127,13.164,157.286,6.209,-39.907,2.994,-16.379,28.03,642.766,37.918,-25.036,1.198,-18.078,35.207,565.618,22.607,2.68,-0.455,12.706,4.5,166.395,14.649
