Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Schraubensalto C,0609-4-01-138,22.618,20.495,9.703,2.632,24.656,106.749,132.394,170.364
Salto C,0609-1-01-422,22.833,21.148,10.226,1.125,24.76,25.899,187.516,18.701
Salto C,0609-4-01-458,25.591,22.18,16.141,0.907,23.023,13.794,156.264,14.993
Bauchsprung,0609-1-01-668,23.59,21.161,15.365,1.31,18.467,11.531,74.589,26.689
Salto A,20191007-1524-FRANKFURT_1-01-147,24.695,20.91,9.072,4.579,24.743,26.445,63.387,33.493
Salto C,0827-BK2-01-13,25.656,23.808,10.519,1.122,26.512,18.821,175.736,19.868
Barani C,20190930-1616-FRANKFURT_1-01-361,24.372,22.221,9.246,2.954,26.321,54.018,190.688,61.965
Barani A,20191007-1534-FRANKFURT_2-01-38,21.554,20.4,8.752,5.618,23.644,64.507,172.95,92.582
Salto C,0827-BK1-01-38,25.151,23.16,12.701,1.456,25.324,11.468,157.996,14.814
Salto C,20191008-1207-FRANKFURT_2-01-312,25.454,21.885,11.416,8.004,24.973,43.069,188.591,39.532
Fliffis C,20191003-1152-FRANKFURT_1-01-129,21.451,20.726,23.082,6.259,26.685,87.539,396.024,104.185
Salto C,0115-MORITZ-03-37,27.191,24.407,11.626,1.631,27.142,16.266,158.42,15.738
Barani C,0609-4-01-540,23.059,21.216,13.118,1.886,23.77,37.3,196.861,86.638
Salto B,20191007-1150-FRANKFURT_2-01-95,21.274,18.958,9.178,1.602,25.073,28.866,184.827,30.084
Doppelsalto B,0115-JANEIKE-01-136,22.24,19.674,18.304,2.055,26.14,27.231,261.483,35.182
Fliffis aus C,20191001-1148-FRANKFURT_1-01-92,24.519,22.341,22.457,4.998,30.475,70.79,422.492,183.239
Salto C,20191007-1159-FRANKFURT_1-01-33,26.73,22.71,5.323,1.584,27.374,30.864,192.955,37.916
Salto A,0827-BK1-01-129,23.585,21.687,10.143,1.563,24.533,12.053,59.258,11.827
Barani C,20191008-1157-FRANKFURT_1-01-242,24.207,22.644,9.25,2.653,26.197,38.456,229.716,110.961
Salto B,0827-BK2-02-75,22.35,20.633,11.346,1.077,24.555,35.075,171.652,28.214
Doppelsalto C,0609-1-01-859,23.013,20.325,21.928,1.513,28.467,31.934,279.473,26.482
Fliffis B,0609-4-01-393,24.701,21.777,18.935,2.58,28.534,92.292,353.328,124.318
41/,20191001-1148-FRANKFURT_1-01-94,24.07,21.879,6.669,2.141,26.524,64.88,187.579,96.706
Fliffis B,0609-4-01-351,24.266,21.508,19.991,2.671,27.545,87.956,355.044,131.043
Voll- ein 1 3/4 Salto vw C,0115-CHARI-05-141,23.946,19.365,13.112,7.782,26.137,234.83,204.266,201.796
3/4 Salto rw A,20190930-1247-FRANKFURT_2-01-313,27.058,23.94,15.089,1.147,22.873,20.403,56.113,23.863
Von Bauch in Stand,0609-1-01-237,24.784,24.918,17.28,1.263,17.928,11.441,83.204,16.527
Bauchsprung,0609-1-01-712,24.703,21.283,14.592,0.956,20.224,14.853,76.64,26.504
Salto A,0827-BK2-02-125,23.617,21.705,8.03,1.093,24.99,16.197,47.79,18.187
Schraubensalto C,0609-4-01-241,22.611,19.876,9.721,2.454,24.325,110.858,125.731,175.945
Salto A,20191003-1152-FRANKFURT_1-01-66,20.163,18.989,10.746,2.769,21.889,15.64,94.044,26.37
Salto C,20191007-1534-FRANKFURT_2-01-139,21.954,19.651,9.366,2.361,24.622,30.053,188.168,30.954
Cody C,20190930-1153-FRANKFURT_1-01-237,26.623,25.415,23.442,1.903,21.269,33.766,231.333,34.224
Barani A,20191008-1157-FRANKFURT_1-01-111,23.977,21.964,7.239,2.298,26.468,73.412,192.194,108.867
41°,20191001-1148-FRANKFURT_1-01-142,23.352,21.923,8.855,3.036,25.816,29.488,252.274,153.507
Salto C,0609-1-01-363,22.966,21.779,10.068,1.212,24.953,23.911,198.856,18.125
Schraubensalto C,0609-4-01-84,22.414,19.856,11.562,2.642,23.477,103.013,130.55,170.573
Salto B,0827-BK1-01-87,24.786,23.095,14.474,1.575,24.975,15.206,185.912,20.482
Barani A,20191008-1207-FRANKFURT_2-01-160,24.219,21.832,5.393,2.621,26.756,66.387,209.101,96.745
Salto C,20191007-1159-FRANKFURT_1-01-9,24.041,21.139,4.246,0.977,26.565,17.701,198.436,20.427
Bauchsprung,0609-1-01-826,23.999,21.294,15.256,1.193,19.042,12.709,75.709,23.436
Schraubensalto,20190930-1153-FRANKFURT_1-01-201,24.287,21.893,7.894,1.917,26.267,113.918,129.811,123.152
Von Bauch in Stand,0609-1-01-645,23.596,23.873,15.386,2.643,18.327,26.333,77.17,33.68
Salto B,0827-BK1-01-56,25.66,23.711,14.45,2.092,26.013,19.842,169.384,23.057
Salto B,20191007-1524-FRANKFURT_1-01-180,24.629,22.298,10.751,2.565,26.35,31.505,209.91,33.964
Salto B,20191008-1207-FRANKFURT_2-01-9,24.996,21.78,8.851,3.949,27.344,23.002,214.939,29.097
Doppelsalto B,0115-MORITZ-03-166,24.552,21.691,20.921,2.226,26.638,24.094,264.641,19.179
Doppelsalto C,20190930-1153-FRANKFURT_1-01-245,24.05,20.552,20.322,3.151,30.267,40.658,230.119,31.157
Doppelsalto C,0609-1-01-780,22.552,20.333,22.771,1.762,26.458,38.954,280.255,31.979
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-278,24.382,17.732,22.451,9.708,29.869,214.619,416.11,410.636
Salto B,0827-BK1-01-83,24.57,22.92,14.354,1.703,24.309,19.554,181.694,15.881
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-142,23.407,18.514,22.698,10.609,31.134,189.346,408.145,414.031
40<,20191001-1148-FRANKFURT_1-01-182,23.681,21.229,10.202,1.039,26.003,20.52,219.697,30.67
Barani B,20191007-1159-FRANKFURT_1-01-164,22.4,21.482,13.603,3.071,24.284,57.82,258.575,162.561
Barani C,20190930-1247-FRANKFURT_2-01-131,23.954,22.182,8.563,2.766,26.198,47.938,217.202,62.33
