Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
11.259,-53.13,-188.243,345.424,-53.237,-184.872,346.391,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
11.862,-138.232,-95.574,387.101,-135.525,-96.392,382.293,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
11.395,-179.179,-11.837,339.211,-176.83,-11.757,338.411,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
9.975,-164.953,68.42,275.242,-162.24,65.962,275.726,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
7.301,-95.861,107.124,233.025,-97.185,105.571,232.447,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
6.574,-52.758,108.108,184.463,-52.615,108.763,186.897,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
6.856,-5.118,110.777,151.997,-6.531,112.501,149.896,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
8.904,24.888,147.453,92.937,24.416,148.691,94.552,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
9.262,38.175,222.6,51.357,37.913,220.935,48.063,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
56.939,37.47,237.587,-16.789,37.131,226.034,-11.963,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
106.854,-29.062,-229.471,21.437,-30.177,-196.892,16.863,20190930-1153-FRANKFURT_1-01-140,Cody C
31.717,22.042,-154.443,54.925,19.904,-167.046,49.897,20190930-1153-FRANKFURT_1-01-140,Cody C
13.535,6.13,-145.752,27.451,9.492,-132.28,22.75,20190930-1153-FRANKFURT_1-01-140,Cody C
13.696,-29.463,70.622,7.465,-21.023,88.731,10.121,20190930-1153-FRANKFURT_1-01-140,Cody C
27.987,61.297,568.674,42.322,53.479,548.275,44.788,20190930-1153-FRANKFURT_1-01-140,Cody C
32.581,84.723,730.734,60.35,84.325,720.2,54.448,20190930-1153-FRANKFURT_1-01-140,Cody C
27.55,83.724,657.566,-13.132,81.032,654.405,-6.205,20190930-1153-FRANKFURT_1-01-140,Cody C
23.579,51.308,509.962,-2.331,53.316,506.763,-7.9,20190930-1153-FRANKFURT_1-01-140,Cody C
9.99,49.847,333.539,-17.507,47.838,337.918,-17.483,20190930-1153-FRANKFURT_1-01-140,Cody C
5.341,6.903,230.46,-19.815,9.566,234.438,-18.172,20190930-1153-FRANKFURT_1-01-140,Cody C
6.337,4.527,194.794,-15.128,5.697,196.105,-13.86,20190930-1153-FRANKFURT_1-01-140,Cody C
5.384,16.247,185.866,-11.155,16.145,186.08,-11.925,20190930-1153-FRANKFURT_1-01-140,Cody C
5.34,19.695,167.814,-16.5,17.86,166.83,-15.66,20190930-1153-FRANKFURT_1-01-140,Cody C
4.773,0.628,135.282,-2.917,1.92,134.867,-2.339,20190930-1153-FRANKFURT_1-01-140,Cody C
