SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
0609-4-01-58,Fliffis B,28.437,-67.132,-55.406,116.072,-67.11,-54.973,116.312
0609-1-01-199,Doppelsalto B,27.188,24.481,399.352,-12.009,24.467,398.442,-11.464
20191007-1159-FRANKFURT_1-01-432,Salto B,18.427,-21.882,206.124,-26.177,-21.61,206.785,-25.783
0115-JANEIKE-01-7,Strecksprung,11.033,-0.11,-0.063,-2.786,0.014,-0.167,-2.752
0609-1-01-592,Doppelsalto B,27.724,6.053,374.966,-10.64,5.993,374.757,-10.479
0827-BK2-01-104,Salto A,12.968,7.992,169.0,-8.682,7.945,168.445,-8.668
20191007-1534-FRANKFURT_2-01-108,Baby- Fliffis C,24.024,-51.433,-49.367,130.027,-51.129,-47.734,130.734
20191008-1207-FRANKFURT_2-01-313,1 3/4 Salto vw B,25.859,-73.248,-326.121,102.432,-73.423,-325.485,101.975
20190930-1247-FRANKFURT_2-01-295,Salto A,15.159,-0.316,194.457,-15.385,-0.348,194.155,-15.283
0609-1-01-894,Doppelsalto C,33.14,19.957,413.453,-4.742,19.978,412.983,-4.852
20190930-1616-FRANKFURT_1-01-256,Fliffis C,33.287,-52.774,-195.281,97.42,-52.884,-194.963,97.522
0827-BK2-01-57,Salto B,17.137,-0.307,167.32,-7.429,-0.254,167.225,-7.509
0827-BK1-01-13,Salto C,16.137,-1.803,170.566,0.88,-1.771,170.339,0.715
0609-1-01-704,Doppelsalto C,33.348,18.731,417.236,-15.921,18.816,416.459,-16.327
0609-4-01-491,Strecksprung,10.752,-1.975,4.044,0.99,-1.924,3.999,1.05
0609-1-01-594,Salto C,15.573,12.147,189.947,-6.145,12.154,190.205,-6.07
0827-BK2-02-73,Salto B,18.244,7.271,184.324,-29.627,7.192,184.247,-29.468
20191007-1159-FRANKFURT_1-01-263,Barani A,17.475,-50.939,38.068,105.136,-50.774,38.916,105.224
0609-4-01-335,Salto C,13.518,1.842,180.367,1.29,1.814,179.135,1.279
20190930-1153-FRANKFURT_1-01-200,Salto A,16.715,29.808,175.833,3.62,29.863,176.115,3.705
20190930-1247-FRANKFURT_2-01-270,Rudi,19.187,82.58,33.814,283.261,82.483,34.056,283.321
20190930-1616-FRANKFURT_1-01-149,1/2 ein 1/2 aus C,31.101,118.095,-83.778,116.843,118.144,-84.549,116.51
20191008-1157-FRANKFURT_1-01-318,Strecksprung,9.21,-1.016,12.111,5.989,-1.034,12.373,6.299
20190930-1616-FRANKFURT_1-01-49,Salto C,17.398,-0.825,194.189,9.138,-0.823,193.609,9.274
0827-BK2-02-57,Salto B,17.359,12.869,179.436,-29.792,12.784,179.246,-29.611
20191008-1207-FRANKFURT_2-01-135,Strecksprung,10.6,-1.557,0.078,5.231,-1.427,0.212,5.05
20191008-1207-FRANKFURT_2-01-162,Schraubensalto A,16.43,60.469,85.466,194.59,59.343,84.96,196.642
0609-1-01-114,Strecksprung,10.28,0.236,8.03,1.747,0.293,8.701,1.851
0609-1-01-68,Strecksprung,9.775,-43.534,4.825,-88.099,-43.43,4.889,-87.767
0609-1-01-475,Salto C,15.945,15.699,190.116,-6.591,15.658,190.11,-6.525
0115-MORITZ-03-146,Fliffis- Rudi B,36.633,-100.808,-124.642,-260.858,-100.814,-123.714,-260.584
0609-1-01-487,Doppelsalto B,25.421,-2.638,366.354,-11.641,-2.622,365.479,-11.266
0609-1-01-372,Doppelsalto B,27.904,23.399,384.737,-8.406,23.137,384.549,-8.395
20191008-1207-FRANKFURT_2-01-188,Schraubensalto A,17.554,36.247,88.253,205.473,35.942,88.421,205.463
20190930-1247-FRANKFURT_2-01-176,Fliffis C,34.827,-61.609,-222.86,88.872,-61.411,-222.516,89.14
20191007-1524-FRANKFURT_1-01-213,Fliffis- Rudi C,40.088,53.107,-238.913,373.939,52.224,-239.169,377.138
0609-4-01-225,Schraubensalto C,17.578,33.071,97.288,207.449,32.835,97.312,207.085
0827-BK1-01-68,Salto B,17.429,4.804,174.478,9.24,4.796,174.131,9.111
20190930-1247-FRANKFURT_2-01-28,Salto C,18.003,-7.587,200.048,2.008,-7.896,199.923,2.02
20191007-1150-FRANKFURT_2-01-43,Cody C,22.566,-3.307,242.349,-8.029,-3.181,242.51,-8.322
0609-1-01-119,Strecksprung,11.434,2.681,3.768,-0.077,2.408,3.752,-0.113
20191007-1534-FRANKFURT_2-01-75,Fliffis B,33.129,-36.188,-193.539,149.77,-36.239,-193.456,149.44
20191001-1148-FRANKFURT_1-01-144,3/4 Salto vw A,13.595,11.172,-155.556,10.079,10.907,-157.019,9.537
0609-1-01-844,Strecksprung,10.191,1.066,-4.362,-1.714,1.25,-3.992,-2.213
20191001-1148-FRANKFURT_1-01-120,Salto rw A,14.922,1.663,200.027,-4.964,1.622,199.607,-4.571
20191007-1150-FRANKFURT_2-01-71,Schraubensalto A,16.915,77.922,113.508,222.599,77.642,113.282,223.672
20190930-1247-FRANKFURT_2-01-247,Fliffis C,34.815,-66.256,-226.275,90.348,-66.142,-226.047,90.095
