SprungID,Sprungtyp,std_Acc_N_Fil,std_Gyro_x_R,std_Gyro_y_R,std_Gyro_z_R,std_Gyro_x_Fil,std_Gyro_y_Fil,std_Gyro_z_Fil
0609-4-01-138,Schraubensalto C,22.125,108.706,136.872,172.113,106.481,132.109,170.413
20191007-1159-FRANKFURT_1-01-433,Barani A,20.55,18.958,105.801,50.431,16.796,102.788,46.062
20191007-1524-FRANKFURT_1-01-109,Fliffis- Rudi B,16.219,206.991,454.098,362.626,201.102,437.817,351.835
20191001-1202-FRANKFURT_2-01-19,Strecksprung,21.128,16.102,68.533,37.252,13.418,62.972,21.342
20191001-1148-FRANKFURT_1-01-197,Salto rw B,24.185,22.456,255.057,41.858,17.193,237.386,32.238
20191001-1148-FRANKFURT_1-01-110,Salto rw A,24.075,22.38,95.423,39.836,17.763,79.081,22.674
20191007-1524-FRANKFURT_1-01-271,Strecksprung,21.692,26.256,93.121,38.258,20.705,87.939,30.974
0827-BK2-02-135,Salto A,23.319,14.586,61.794,23.813,12.64,57.625,19.568
20191003-1152-FRANKFURT_1-01-126,Strecksprung,24.066,12.762,70.769,27.381,10.601,68.744,23.565
20191008-1157-FRANKFURT_1-01-245,Baby- Fliffis C,20.168,41.03,318.925,159.498,35.587,301.497,149.777
20191008-1207-FRANKFURT_2-01-35,Salto A,24.152,24.947,84.515,53.085,18.264,67.045,24.247
0609-4-01-388,Fliffis B,19.984,95.416,372.92,126.595,92.736,353.218,120.757
20190930-1247-FRANKFURT_2-01-177,Strecksprung,18.835,14.568,21.565,18.478,12.315,19.956,15.832
20191007-1159-FRANKFURT_1-01-248,Barani A,22.103,46.622,209.801,139.087,44.563,205.419,136.596
20191008-1157-FRANKFURT_1-01-220,Grätschwinkel,22.314,21.584,129.942,35.663,14.392,125.059,25.15
0609-4-01-379,Salto C,20.201,20.087,97.84,28.38,18.375,92.885,25.746
0609-4-01-231,Schraubensalto C,17.098,106.979,136.021,161.64,105.289,132.175,160.294
0609-4-01-449,Salto C,19.299,20.349,134.141,21.539,18.043,123.705,18.538
20190930-1247-FRANKFURT_2-01-46,Salto B,21.939,18.961,175.033,34.875,14.598,169.51,27.609
20191007-1159-FRANKFURT_1-01-48,Strecksprung,22.543,18.862,78.275,47.119,16.356,73.55,39.645
