Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto A,20191001-1202-FRANKFURT_2-01-173,17.824,24.262,17.87,20.456,0.982,10.262,-1.066,1.395,3.853,23.13,-18.864,19.726,-220.72,68.158,-5.943,36.646,-31.002,-361.716,-15.306,40.138,365.377,66.067
Salto A,20191001-1202-FRANKFURT_2-01-131,17.652,24.498,17.73,20.963,1.188,11.362,-0.915,1.56,4.134,22.777,-8.128,15.217,-227.863,86.905,-5.08,24.517,-13.958,-369.489,-8.169,24.348,374.354,50.516
Doppelsalto B,0609-1-01-550,29.077,24.088,28.841,21.06,-11.575,19.143,0.091,2.237,-0.962,28.018,16.639,50.104,371.494,274.615,-10.832,30.828,31.524,703.472,-20.723,80.993,725.197,68.921
Salto A,20191008-1157-FRANKFURT_1-01-32,14.557,22.987,14.689,20.566,-0.655,4.232,-0.527,0.917,4.592,24.649,2.194,11.921,202.034,55.435,-4.955,23.75,3.22,340.708,-8.47,23.124,340.708,41.364
Fliffis C,20191003-1152-FRANKFURT_1-01-160,36.499,22.243,37.196,21.209,-18.273,23.768,-4.429,6.862,-4.023,26.675,91.483,91.118,-231.386,397.899,-109.653,91.141,151.706,-375.492,-182.555,171.363,614.219,192.95
Voll- ein- halb- aus B,0115-MORITZ-03-133,36.209,22.049,36.332,19.794,-16.475,18.751,1.651,11.042,-1.966,29.702,-184.883,255.365,-127.604,361.361,-260.432,255.847,-340.424,-235.891,-479.534,397.395,611.777,514.138
Salto C,0609-1-01-416,16.85,23.385,16.731,21.831,-1.814,10.129,-0.067,1.428,4.638,25.119,21.634,19.506,192.396,188.572,-9.308,23.997,40.584,357.682,-17.994,48.129,384.368,40.181
Fliffis B,0609-4-01-346,30.455,24.2,30.87,21.579,-11.736,18.694,-0.357,3.554,-0.942,27.859,-64.419,97.45,-105.854,349.707,128.583,115.033,-125.152,-212.225,245.649,166.228,598.512,268.188
Schraubensalto C,0609-4-01-203,17.125,22.894,17.044,20.422,-2.468,10.836,-0.79,2.996,5.615,24.142,36.691,109.289,106.608,126.467,212.697,167.468,69.745,198.143,396.089,156.456,288.416,398.719
Bauchsprung,0609-1-01-685,11.811,24.069,11.167,21.637,5.175,15.773,0.08,1.599,6.882,18.541,-1.492,8.507,-22.38,65.355,-5.859,16.686,-2.843,-40.284,-10.69,13.799,120.615,26.0
Doppelsalto C,20190930-1616-FRANKFURT_1-01-273,34.104,24.167,33.959,20.81,-14.933,22.031,1.559,2.676,-2.665,28.806,20.588,41.544,376.356,247.681,5.822,38.174,38.321,690.154,4.824,70.811,701.418,79.919
Salto C,0827-BK2-01-34,17.574,25.198,17.318,23.236,-1.315,11.251,0.422,2.172,5.904,26.112,12.451,23.703,167.426,172.545,-8.294,22.563,25.25,336.879,-16.465,42.169,368.532,42.121
Fliffis aus C,0110-MORITZ-01-18,31.377,23.063,31.727,21.243,-14.677,20.572,-1.599,4.43,0.541,27.031,18.859,75.476,-149.606,396.972,-97.129,147.186,35.939,-286.135,-184.102,112.941,656.984,231.177
Fliffis Rudi C,20190930-1153-FRANKFURT_1-01-204,39.428,21.244,39.78,19.158,-22.014,20.163,2.559,6.682,-3.174,29.586,6.925,152.372,-204.442,348.31,322.11,334.363,13.233,-366.382,571.417,214.142,632.881,599.861
Schraubensalto,20190930-1247-FRANKFURT_2-01-268,16.67,23.715,16.788,21.3,-3.082,6.107,-0.995,3.43,5.031,25.666,58.612,84.451,114.59,154.244,197.799,152.407,107.52,207.869,360.63,136.341,319.1,369.668
Barani A,20191007-1534-FRANKFURT_2-01-36,17.875,21.216,18.208,20.174,-3.022,5.858,0.839,6.54,3.123,24.409,-67.594,62.159,45.555,191.362,114.946,98.056,-110.816,74.959,188.549,116.436,272.482,213.927
