SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
20191007-1524-FRANKFURT_1-01-264,Fliffis- Rudi B,47.597,-110.372,-639.684,53.789,-108.836,-637.08,54.872,34.667,67.188,-449.513,362.366,68.279,-439.179,361.602,35.19,225.596,-71.829,806.115,225.211,-81.457,805.042,30.082,81.946,351.702,95.275,78.154,356.47,102.6
20191001-1202-FRANKFURT_2-01-27,Salto B,30.844,-10.361,-50.002,17.654,-11.132,-51.648,17.083,18.343,-11.814,-423.139,-23.048,-12.557,-418.934,-20.477,10.231,-34.105,-253.832,5.425,-33.223,-256.477,3.552,15.549,-29.249,-134.571,-33.392,-29.281,-128.94,-29.017
0609-1-01-466,Doppelsalto B,25.749,0.517,130.513,-30.882,1.072,133.392,-29.236,38.293,-15.552,727.046,3.925,-14.282,720.794,4.741,21.414,68.042,439.056,-8.515,66.813,440.74,-10.284,26.902,19.352,194.792,-8.148,19.041,194.902,-8.188
20191008-1207-FRANKFURT_2-01-174,Schraubensalto A,23.678,96.805,172.023,148.9,98.634,170.194,150.752,6.903,133.731,-99.506,280.734,131.862,-99.3,282.351,10.252,-104.858,33.635,330.157,-102.96,33.849,328.464,21.358,42.344,264.237,76.961,39.874,261.84,76.652
0115-JANEIKE-01-26,Strecksprung,23.482,-3.137,76.95,11.663,-3.307,77.447,11.596,0.519,-3.115,-41.056,-14.319,-2.758,-40.306,-13.953,0.516,13.328,-47.9,-6.555,13.117,-48.074,-6.585,24.579,-1.895,23.808,2.426,-1.848,23.484,1.925
0827-BK2-01-83,Salto B,37.371,5.688,11.481,-5.37,5.558,14.024,-5.352,16.221,21.787,363.781,-21.886,21.338,361.521,-21.471,5.649,-16.423,116.513,7.319,-15.812,118.082,6.634,18.694,18.715,169.41,-1.179,19.105,168.75,-0.979
0609-1-01-888,Doppelsalto C,29.194,18.347,146.16,-16.821,18.046,150.978,-16.803,45.288,-11.298,718.124,-4.397,-9.954,713.479,-5.104,30.995,46.276,557.622,-22.135,45.175,557.311,-22.123,19.369,5.679,218.876,-28.074,6.443,216.844,-27.683
0609-4-01-418,Fliffis B,50.912,-15.812,-410.453,21.274,-16.075,-405.602,21.982,25.126,0.731,-291.524,131.934,-0.555,-292.699,131.67,18.061,-169.693,102.199,282.057,-168.081,101.917,281.468,25.57,-4.486,263.59,44.627,-4.866,263.175,45.562
0115-JANEIKE-01-75,Strecksprung,23.659,-6.918,84.584,-0.224,-6.999,84.486,-0.164,2.026,3.969,-61.574,9.78,4.145,-61.157,9.342,0.668,1.001,-27.527,-12.213,0.876,-27.66,-11.907,19.64,5.835,8.836,-4.657,5.394,8.229,-4.224
0609-4-01-485,Strecksprung,22.706,-0.328,35.534,6.045,-0.521,35.505,5.751,0.864,1.665,-9.048,1.601,1.718,-9.089,1.642,0.789,1.385,-2.458,7.702,1.384,-2.407,7.658,16.229,2.067,8.832,6.075,1.974,9.902,6.139
