Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
,,48.533,56.182,-17.71,-5.325,12.617,88.576,-581.294,-33.296,20191001-1148-FRANKFURT_1-01-244,Fliffis aus B,240.037,-389.144,99.554,256.628,768.477,254.759
,,38.489,38.905,-34.399,-11.682,-9.745,198.004,-605.085,-100.181,20191001-1148-FRANKFURT_1-01-244,Fliffis aus B,240.037,-389.144,99.554,256.628,768.477,254.759
,,21.896,23.788,-16.549,3.2,-3.99,288.532,-156.06,375.045,20191001-1148-FRANKFURT_1-01-244,Fliffis aus B,240.037,-389.144,99.554,256.628,768.477,254.759
,,31.084,21.718,-7.248,-1.245,14.975,8.573,398.497,13.836,20191001-1148-FRANKFURT_1-01-244,Fliffis aus B,240.037,-389.144,99.554,256.628,768.477,254.759
,,42.937,51.423,-15.272,9.414,8.242,-113.404,-496.675,167.926,20191008-1207-FRANKFURT_2-01-367,1 3/4 Salto vw B,-112.837,-593.488,166.375,150.96,640.64,198.27
,,21.252,23.108,-18.571,1.995,-7.449,-51.837,-314.631,48.878,20191008-1207-FRANKFURT_2-01-367,1 3/4 Salto vw B,-112.837,-593.488,166.375,150.96,640.64,198.27
,,9.004,9.104,-3.98,-0.808,-4.423,-39.173,-213.611,59.802,20191008-1207-FRANKFURT_2-01-367,1 3/4 Salto vw B,-112.837,-593.488,166.375,150.96,640.64,198.27
,,42.623,31.439,-27.109,-0.693,-4.483,-54.855,-342.836,102.146,20191008-1207-FRANKFURT_2-01-367,1 3/4 Salto vw B,-112.837,-593.488,166.375,150.96,640.64,198.27
,,52.34,57.61,-19.401,-2.987,17.781,38.185,-561.454,-5.301,20191001-1148-FRANKFURT_1-01-72,Fliffis aus C,25.143,-355.448,163.975,55.764,705.365,222.39
,,49.907,53.119,-44.41,0.559,-19.759,6.158,-668.011,29.067,20191001-1148-FRANKFURT_1-01-72,Fliffis aus C,25.143,-355.448,163.975,55.764,705.365,222.39
,,18.153,20.785,-10.553,-1.487,-11.998,6.427,-8.61,373.873,20191001-1148-FRANKFURT_1-01-72,Fliffis aus C,25.143,-355.448,163.975,55.764,705.365,222.39
,,27.187,17.551,-6.27,-1.561,11.876,11.911,369.162,15.788,20191001-1148-FRANKFURT_1-01-72,Fliffis aus C,25.143,-355.448,163.975,55.764,705.365,222.39
,,33.514,42.257,-6.971,1.89,7.591,22.927,170.072,-27.059,20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,71.644,687.675,-46.233,75.414,693.739,71.338
